Description	Category	Subcategory	Payment	Date	Gains/Expenses	Checking Balance
Beginning Balance	None	None	None	2/28/2021	1317.17	1317.17
Target	Wants	Free Spending	Chase CC	3/1/2021	68.70	1317.17
Rent	Needs	Rent	Checking	3/1/2021	1033.43	283.74
Airbnb	Wants	Free Spending	Chase CC	3/2/2021	191.34	283.74
Carl's Jr.	Wants	Free Spending	Chase CC	3/3/2021	17.21	283.74
CVS	Wants	Free Spending	Chase CC	3/4/2021	9.68	283.74
Speedway	Needs	Gas	Citi CC	3/4/2021	10.00	283.74
McDonald's	Wants	Free Spending	Chase CC	3/4/2021	23.45	283.74
Payday	Income	Earnings	Checking	3/5/2021	1453.65	1737.39
Coinbase	Savings	Crypto Savings	Checking	3/5/2021	40.00	1697.39
Apple CC	Wants	Free Spending	Checking	3/5/2021	53.12	1644.27
Emergency Savings	Savings	Emergency Savings	Checking	3/5/2021	100.00	1544.27
Brokerage Contribution	Savings	Taxable Brokerage	Checking	3/5/2021	100.00	1444.27
Roth IRA Contribution	Savings	Retirement	Checking	3/5/2021	200.00	1244.27
Costco	Wants	Free Spending	Chase CC	3/6/2021	10.87	1244.27
Total Wine	Wants	Free Spending	Chase CC	3/6/2021	43.51	1244.27
Saguaro NP Store (2)	Wants	Free Spending	Chase CC	3/7/2021	2.99	1244.27
Circle K	Wants	Free Spending	Chase CC	3/7/2021	5.66	1244.27
Saguaro NP Store (1)	Wants	Free Spending	Chase CC	3/7/2021	30.95	1244.27
Circle K	Needs	Gas	Citi CC	3/7/2021	53.51	1244.27
America the Beautiful Pass	Wants	Free Spending	Chase CC	3/7/2021	80.00	1244.27
Amazon CC	CC Payment	CC Payment	Checking	3/8/2021	8.61	1235.66
McDonald's	Wants	Free Spending	Amazon CC	3/8/2021	12.21	1235.66
Starbucks	Wants	Free Spending	Amazon CC	3/10/2021	10.00	1235.66
Starbucks	Wants	Free Spending	Amazon CC	3/10/2021	10.00	1235.66
Coinbase	Savings	Crypto Savings	Checking	3/12/2021	40.00	1195.66
Ralph's	Needs	Groceries	Citi CC	3/12/2021	59.56	1195.66
Etsy	Wants	Free Spending	Chase CC	3/12/2021	66.00	1195.66
Electric Bill	Needs	Electric Bill	Checking	3/12/2021	98.14	1097.52
Walmart	Needs	Groceries	Chase CC	3/13/2021	21.95	1097.52
Trader Joe's	Needs	Groceries	Citi CC	3/13/2021	41.36	1097.52
Speedway	Needs	Gas	Citi CC	3/13/2021	59.51	1097.52
Costco	Needs	Groceries	Chase CC	3/13/2021	193.87	1097.52
Federal Loans	Needs	Student Loans	Checking	3/15/2021	108.05	989.47
Reimbursement	Wants	Free Spending	Amazon CC	3/16/2021	1.83	989.47
Reimbursement	Wants	Free Spending	Amazon CC	3/16/2021	0.50	989.47
Laundry	Needs	Laundry	Chase CC	3/16/2021	10.00	989.47
Stimulus Check	Income	Earnings	Checking	3/17/2021	1400.00	2389.47
Emergency Savings	Savings	Emergency Savings	Checking	3/17/2021	500.00	1889.47
Payday	Income	Earnings	Checking	3/19/2021	1642.21	3531.68
Reimbursement	Wants	Free Spending	Amazon CC	3/19/2021	0.50	3531.68
Starbucks	Wants	Free Spending	Amazon CC	3/19/2021	10.00	3531.68
Coinbase	Savings	Crypto Savings	Checking	3/19/2021	50.00	3481.68
Emergency Savings	Savings	Emergency Savings	Checking	3/19/2021	100.00	3381.68
Brokerage Contribution	Savings	Taxable Brokerage	Checking	3/19/2021	100.00	3281.68
Roth IRA Contribution	Savings	Retirement	Checking	3/19/2021	200.00	3081.68
Chase CC	CC Payment	CC Payment	Checking	3/19/2021	448.57	2633.11
Wingstop	Wants	Free Spending	Chase CC	3/21/2021	18.51	2633.11
Citi CC	CC Payment	CC Payment	Checking	3/22/2021	152.21	2480.90
LA Fitness	Wants	Subscriptions	Chase CC	3/23/2021	4.67	2480.90
LA Fitness	Wants	Subscriptions	Chase CC	3/23/2021	34.99	2480.90
LA Fitness	Wants	Subscriptions	Chase CC	3/23/2021	46.05	2480.90
ECSI Loans	Needs	Student Loans	Checking	3/23/2021	500.00	1980.90
Savings Transfer	Income	Savings Transfer	Checking	3/25/2021	400.00	2380.90
Del Taco	Wants	Free Spending	Chase CC	3/25/2021	3.86	2380.90
Speedway	Needs	Gas	Citi CC	3/25/2021	15.00	2380.90
Roth IRA Contribution	Savings	Retirement	Checking	3/25/2021	400.00	1980.90
Starbucks	Wants	Free Spending	Amazon CC	3/26/2021	10.00	1980.90
Chronic Tacos	Wants	Free Spending	Chase CC	3/26/2021	11.74	1980.90
In N Out	Wants	Free Spending	Chase CC	3/26/2021	12.12	1980.90
Bevmo	Wants	Free Spending	Chase CC	3/26/2021	15.40	1980.90
Ralph's	Wants	Free Spending	Chase CC	3/26/2021	19.37	1980.90
Coinbase	Savings	Crypto Savings	Checking	3/26/2021	50.00	1930.90
Draftkings Refund	Wants	Free Spending	Chase CC	3/27/2021	100.00	1930.90
Draftkings	Wants	Free Spending	Chase CC	3/27/2021	100.00	1930.90
Apple Music	Wants	Subscriptions	Chase CC	3/28/2021	9.99	1930.90
Disney+	Wants	Subscriptions	Chase CC	3/28/2021	13.99	1930.90
Speedway	Needs	Gas	Citi CC	3/28/2021	20.68	1930.90
Internet Bill	Needs	Internet Bill	Checking	3/28/2021	73.99	1856.91
Valhalla	Wants	Subscriptions	Checking	3/28/2021	85.00	1771.91
Bovada	Wants	Free Spending	Chase CC	3/28/2021	99.98	1771.91
Car Insurance	Needs	Car Insurance	Checking	3/28/2021	139.00	1632.91
Fogo De Chao	Wants	Free Spending	Chase CC	3/28/2021	180.00	1632.91
Reimbursement	Wants	Free Spending	Amazon CC	3/30/2021	0.50	1632.91
Bill Reimbursement	Income	Reimbursements	Checking	3/31/2021	86.07	1718.98
Payday	Income	Earnings	Checking	4/2/2021	1642.21	3361.19
Starbucks	Wants	Free Spending	Amazon CC	4/2/2021	10.00	3361.19
Coinbase	Savings	Crypto Savings	Checking	4/2/2021	50.00	3311.19
Apple CC	Wants	Free Spending	Checking	4/2/2021	53.12	3258.07
Brokerage Contribution	Savings	Taxable Brokerage	Checking	4/2/2021	100.00	3158.07
Emergency Savings	Savings	Emergency Savings	Checking	4/2/2021	100.00	3058.07
Roth IRA Contribution	Savings	Retirement	Checking	4/2/2021	200.00	2858.07
Rent	Needs	Rent	Checking	4/2/2021	1034.39	1823.68
Poke Me	Wants	Free Spending	Chase CC	4/5/2021	15.07	1823.68
Speedway	Needs	Gas	Citi CC	4/5/2021	61.11	1823.68
DashPass	Wants	Free Spending	Chase CC	4/7/2021	4.99	1823.68
DoorDash	Wants	Free Spending	Chase CC	4/7/2021	21.00	1823.68
Electric Bill	Needs	Electric Bill	Checking	4/7/2021	49.60	1774.08
Chevron	Wants	Free Spending	Chase CC	4/9/2021	19.98	1774.08
Jersey Mike's	Wants	Free Spending	Chase CC	4/9/2021	23.43	1774.08
Coinbase	Savings	Crypto Savings	Checking	4/9/2021	50.00	1724.08
Looney Bean	Wants	Free Spending	Chase CC	4/10/2021	15.05	1724.08
Erick Schat's	Wants	Free Spending	Chase CC	4/10/2021	70.63	1724.08
Von's	Wants	Free Spending	Chase CC	4/10/2021	105.72	1724.08
Mammoth Brewing	Wants	Free Spending	Chase CC	4/11/2021	9.74	1724.08
Mammoth Brewing	Wants	Free Spending	Chase CC	4/11/2021	55.71	1724.08
SoFi	Savings	Taxable Brokerage	Checking	4/12/2021	10.00	1714.08
Domino's	Wants	Free Spending	Chase CC	4/12/2021	27.00	1714.08
ECSI Loans	Needs	Student Loans	Checking	4/13/2021	260.00	1454.08
DoorDash	Wants	Free Spending	Chase CC	4/14/2021	18.00	1454.08
SoFi	Savings	Taxable Brokerage	Checking	4/14/2021	22.00	1432.08
Federal Loans	Needs	Student Loans	Checking	4/14/2021	108.05	1324.03
Amazon CC	CC Payment	CC Payment	Checking	4/15/2021	58.88	1265.15
Ralph's	Needs	Groceries	Citi CC	4/15/2021	63.86	1265.15
Chase CC	CC Payment	CC Payment	Checking	4/15/2021	942.89	322.26
Payday	Income	Earnings	Checking	4/16/2021	1642.20	1964.46
