	Description	 Category 	 Subcategory 	 Payment 	 Date 	 Gains/Expenses 	Checking Balance		Is Curent Balance <$0?	Row # In Table	Next <$0 Balance Amount	Date <$0 Balance Occurs
	Beginning Balance	None	None	None	2/28/2021	 $ 1,317.17 	 $ 1,317.17 		FALSE	-1	N/A	N/A
	Target	 Wants 	 Free Spending 	 Chase CC 	3/1/2021	 $ (68.70)	 $ 1,317.17 		FALSE	-1	N/A	N/A
	Rent	Needs	Rent	Checking	3/1/2021	 $ (1,033.43)	 $ 283.74 		FALSE	-1	N/A	N/A
	Airbnb	 Wants 	 Free Spending 	 Chase CC 	3/2/2021	 $ (191.34)	 $ 283.74 		FALSE	-1	N/A	N/A
	Carl's Jr.	 Wants 	 Free Spending 	 Chase CC 	3/3/2021	 $ (17.21)	 $ 283.74 		FALSE	-1	N/A	N/A
	CVS	 Wants 	 Free Spending 	 Chase CC 	3/4/2021	 $ (9.68)	 $ 283.74 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	3/4/2021	 $ (10.00)	 $ 283.74 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	3/4/2021	 $ (23.45)	 $ 283.74 		FALSE	-1	N/A	N/A
	Payday	Income	Earnings	Checking	3/5/2021	 $ 1,453.65 	 $ 1,737.39 		FALSE	-1	N/A	N/A
	Coinbase	Savings	Crypto Savings	Checking	3/5/2021	 $ (40.00)	 $ 1,697.39 		FALSE	-1	N/A	N/A
	Apple CC	Wants	Free Spending	Checking	3/5/2021	 $ (53.12)	 $ 1,644.27 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	Emergency Savings	Checking	3/5/2021	 $ (100.00)	 $ 1,544.27 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	3/5/2021	 $ (100.00)	 $ 1,444.27 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	 Savings 	Retirement	Checking	3/5/2021	 $ (200.00)	 $ 1,244.27 		FALSE	-1	N/A	N/A
